parent_id,child_id,rel_type
-100000000000192795,-100000000000193102,HAS_PROVINCE
-100000000000192795,-100000000005642697,HAS_PROVINCE
-100000000000192795,-100000000005642698,HAS_PROVINCE
-100000000000192795,-100000000005642699,HAS_PROVINCE
-100000000000192795,-100000000000193083,HAS_PROVINCE
-100000000000192795,-100000000000193099,HAS_PROVINCE
-100000000000192795,-100000000005646599,HAS_PROVINCE
-100000000000192795,-100000000003652373,HAS_PROVINCE
-100000000000192795,-100000000000193086,HAS_PROVINCE
-100000000000192795,-100000000005646600,HAS_PROVINCE
-100000000000192795,-100000000003654168,HAS_PROVINCE
-100000000000192795,-100000000000193085,HAS_PROVINCE
-100000000000192795,-100000000005646601,HAS_PROVINCE
-100000000000192795,-100000000005646653,HAS_PROVINCE
-100000000000192795,-100000000000193090,HAS_PROVINCE
-100000000000192795,-100000000000193091,HAS_PROVINCE
-100000000000192795,-100000000000192819,HAS_PROVINCE
-100000000000192795,-100000000005646651,HAS_PROVINCE
-100000000000192795,-100000000005647368,HAS_PROVINCE
-100000000000192795,-100000000000193084,HAS_PROVINCE
-100000000000192795,-100000000000192820,HAS_PROVINCE
-100000000000192795,-100000000000192822,HAS_PROVINCE
-100000000000192795,-100000000000193101,HAS_PROVINCE
-100000000000192795,-100000000000192821,HAS_PROVINCE
-100000000000192795,-100000000000192818,HAS_PROVINCE
-100000000000192795,-100000000000192817,HAS_PROVINCE
-100000000005646653,-100000000014359090,HAS_CITY
-100000000005642699,-100000000012766434,HAS_CITY
-100000000000192818,-100000000012720424,HAS_CITY
-100000000000193086,-100000000011925117,HAS_CITY
-100000000000193085,-100000000011912737,HAS_CITY
-100000000000193101,-100000000011719861,HAS_CITY
-100000000000193101,-100000000011719860,HAS_CITY
-100000000000192822,-100000000011719840,HAS_CITY
-100000000000192821,-100000000011719784,HAS_CITY
-100000000000192818,-100000000011701911,HAS_CITY
-100000000000192818,-100000000011294846,HAS_CITY
-100000000000192818,-100000000011294845,HAS_CITY
-100000000005646601,-100000000011250678,HAS_CITY
-100000000000192818,-100000000011132472,HAS_CITY
-100000000005646601,-100000000011116707,HAS_CITY
-100000000005646601,-100000000011111575,HAS_CITY
-100000000005646601,-100000000011111431,HAS_CITY
-100000000005646601,-100000000011111430,HAS_CITY
-100000000000193090,-100000000011107202,HAS_CITY
-100000000000192818,-100000000009984940,HAS_CITY
-100000000000192820,-100000000009982840,HAS_CITY
-100000000000193085,-100000000009231673,HAS_CITY
-100000000005642698,-100000000008974983,HAS_CITY
-100000000005642698,-100000000008974600,HAS_CITY
-100000000005642698,-100000000008972965,HAS_CITY
-100000000005642698,-100000000008972963,HAS_CITY
-100000000003654168,-100000000006820700,HAS_CITY
-100000000003654168,-100000000006820699,HAS_CITY
-100000000003654168,-100000000006820698,HAS_CITY
-100000000003654168,-100000000006820610,HAS_CITY
-100000000003654168,-100000000006820509,HAS_CITY
-100000000003654168,-100000000006178732,HAS_CITY
-100000000000193086,-100000000005990382,HAS_CITY
-100000000005646651,-100000000005646651,HAS_CITY
-100000000000193085,-100000000005387758,HAS_CITY
-100000000000193086,-100000000005328045,HAS_CITY
-100000000000193090,-100000000005327850,HAS_CITY
-100000000000193090,-100000000005327849,HAS_CITY
-100000000000193090,-100000000005327848,HAS_CITY
-100000000000193090,-100000000005327847,HAS_CITY
-100000000000193090,-100000000005327846,HAS_CITY
-100000000000193090,-100000000005327845,HAS_CITY
-100000000000193090,-100000000005327844,HAS_CITY
-100000000000193090,-100000000005327843,HAS_CITY
-100000000000193090,-100000000005327841,HAS_CITY
-100000000000193090,-100000000005327840,HAS_CITY
-100000000000193090,-100000000005327839,HAS_CITY
-100000000005642699,-100000000005327799,HAS_CITY
-100000000005642698,-100000000005327798,HAS_CITY
-100000000005642699,-100000000005327797,HAS_CITY
-100000000005642699,-100000000005327795,HAS_CITY
-100000000005642697,-100000000005327794,HAS_CITY
-100000000005642697,-100000000005327793,HAS_CITY
-100000000005642699,-100000000005327792,HAS_CITY
-100000000005642698,-100000000005327791,HAS_CITY
-100000000005642697,-100000000005327790,HAS_CITY
-100000000005642698,-100000000005327789,HAS_CITY
-100000000005642697,-100000000005327788,HAS_CITY
-100000000005642697,-100000000005327787,HAS_CITY
-100000000005642697,-100000000005327786,HAS_CITY
-100000000005642699,-100000000005327785,HAS_CITY
-100000000005642699,-100000000005327783,HAS_CITY
-100000000005642697,-100000000005327780,HAS_CITY
-100000000005642698,-100000000005327779,HAS_CITY
-100000000005642699,-100000000005327778,HAS_CITY
-100000000005642699,-100000000005327777,HAS_CITY
-100000000005642698,-100000000005327776,HAS_CITY
-100000000005646653,-100000000005327626,HAS_CITY
-100000000005647368,-100000000005327613,HAS_CITY
-100000000000192821,-100000000000402103,HAS_CITY
-100000000005647368,-100000000000193096,HAS_CITY
-100000000005646599,-100000000000193095,HAS_CITY
-100000000005646601,-100000000000193094,HAS_CITY
-100000000005646600,-100000000000193093,HAS_CITY
-100000000005646653,-100000000000193092,HAS_CITY
-100000000014359090,-100000000014358799,HAS_MUNICIPALITY
-100000000014359090,-100000000014358700,HAS_MUNICIPALITY
-100000000014359090,-100000000014359077,HAS_MUNICIPALITY
-100000000014359090,-100000000014358881,HAS_MUNICIPALITY
-100000000012766434,-100000000006035340,HAS_MUNICIPALITY
-100000000012766434,-100000000006035341,HAS_MUNICIPALITY
-100000000011701911,-100000000014591036,HAS_MUNICIPALITY
-100000000009982840,-100000000009984183,HAS_MUNICIPALITY
-100000000009982840,-100000000009984176,HAS_MUNICIPALITY
-100000000009982840,-100000000009984177,HAS_MUNICIPALITY
-100000000009982840,-100000000009984181,HAS_MUNICIPALITY
-100000000009982840,-100000000009984182,HAS_MUNICIPALITY
-100000000009982840,-100000000009984180,HAS_MUNICIPALITY
-100000000009982840,-100000000009984178,HAS_MUNICIPALITY
-100000000009982840,-100000000009984179,HAS_MUNICIPALITY
-100000000009231673,-100000000011909607,HAS_MUNICIPALITY
-100000000008974983,-100000000008975392,HAS_MUNICIPALITY
-100000000008974983,-100000000008975393,HAS_MUNICIPALITY
-100000000008974600,-100000000008975595,HAS_MUNICIPALITY
-100000000008972965,-100000000011698638,HAS_MUNICIPALITY
-100000000008972965,-100000000011698635,HAS_MUNICIPALITY
-100000000008972965,-100000000011698636,HAS_MUNICIPALITY
-100000000008972965,-100000000011698637,HAS_MUNICIPALITY
-100000000008972963,-100000000010006977,HAS_MUNICIPALITY
-100000000008972963,-100000000010006978,HAS_MUNICIPALITY
-100000000008972963,-100000000010006979,HAS_MUNICIPALITY
-100000000008972963,-100000000010006980,HAS_MUNICIPALITY
-100000000006820698,-100000000011634924,HAS_MUNICIPALITY
-100000000006820509,-100000000006826856,HAS_MUNICIPALITY
-100000000006820509,-100000000006826855,HAS_MUNICIPALITY
-100000000006178732,-100000000006101820,HAS_MUNICIPALITY
-100000000006178732,-100000000006178725,HAS_MUNICIPALITY
-100000000006178732,-100000000006178724,HAS_MUNICIPALITY
-100000000006178732,-100000000006083081,HAS_MUNICIPALITY
-100000000006178732,-100000000006178723,HAS_MUNICIPALITY
-100000000005646651,-100000000000389761,HAS_MUNICIPALITY
-100000000005646651,-100000000000389760,HAS_MUNICIPALITY
-100000000005646651,-100000000000388135,HAS_MUNICIPALITY
-100000000005646651,-100000000000388134,HAS_MUNICIPALITY
-100000000005646651,-100000000010993823,HAS_MUNICIPALITY
-100000000005646651,-100000000000388094,HAS_MUNICIPALITY
-100000000005646651,-100000000000388091,HAS_MUNICIPALITY
-100000000005646651,-100000000000388098,HAS_MUNICIPALITY
-100000000005646651,-100000000000388090,HAS_MUNICIPALITY
-100000000005646651,-100000000000388097,HAS_MUNICIPALITY
-100000000005646651,-100000000000388104,HAS_MUNICIPALITY
-100000000005646651,-100000000000388103,HAS_MUNICIPALITY
-100000000005646651,-100000000000388599,HAS_MUNICIPALITY
-100000000005646651,-100000000000388127,HAS_MUNICIPALITY
-100000000005646651,-100000000000388139,HAS_MUNICIPALITY
-100000000005646651,-100000000000388133,HAS_MUNICIPALITY
-100000000005646651,-100000000010089740,HAS_MUNICIPALITY
-100000000005646651,-100000000000389334,HAS_MUNICIPALITY
-100000000005646651,-100000000000389659,HAS_MUNICIPALITY
-100000000005646651,-100000000000389694,HAS_MUNICIPALITY
-100000000005646651,-100000000000389689,HAS_MUNICIPALITY
-100000000005646651,-100000000000389614,HAS_MUNICIPALITY
-100000000005646651,-100000000000389536,HAS_MUNICIPALITY
-100000000005646651,-100000000000389746,HAS_MUNICIPALITY
-100000000005387758,-100000000005399774,HAS_MUNICIPALITY
-100000000005387758,-100000000005399777,HAS_MUNICIPALITY
-100000000005387758,-100000000005399775,HAS_MUNICIPALITY
-100000000005387758,-100000000005388138,HAS_MUNICIPALITY
-100000000005387758,-100000000005387970,HAS_MUNICIPALITY
-100000000005387758,-100000000005387831,HAS_MUNICIPALITY
-100000000005387758,-100000000005399776,HAS_MUNICIPALITY
-100000000005327799,-100000000006035373,HAS_MUNICIPALITY
-100000000005327799,-100000000006035372,HAS_MUNICIPALITY
-100000000005327798,-100000000008975594,HAS_MUNICIPALITY
-100000000005327797,-100000000006035292,HAS_MUNICIPALITY
-100000000005327797,-100000000006035294,HAS_MUNICIPALITY
-100000000005327797,-100000000006035293,HAS_MUNICIPALITY
-100000000005327795,-100000000005673383,HAS_MUNICIPALITY
-100000000005327795,-100000000005673382,HAS_MUNICIPALITY
-100000000005327792,-100000000005671334,HAS_MUNICIPALITY
-100000000005327792,-100000000005671335,HAS_MUNICIPALITY
-100000000005327792,-100000000005671332,HAS_MUNICIPALITY
-100000000005327792,-100000000005671333,HAS_MUNICIPALITY
-100000000005327792,-100000000005671336,HAS_MUNICIPALITY
-100000000005327792,-100000000005671337,HAS_MUNICIPALITY
-100000000005327791,-100000000008975596,HAS_MUNICIPALITY
-100000000005327791,-100000000008975599,HAS_MUNICIPALITY
-100000000005327791,-100000000008975598,HAS_MUNICIPALITY
-100000000005327791,-100000000008975597,HAS_MUNICIPALITY
