road_id,admin_osm_id
33673364,-100000000000193102
33663693,-100000000000193102
1137187916,-100000000000193102
1137187917,-100000000000193102
33669813,-100000000000193102
634697104,-100000000000193102
634697101,-100000000000193102
33676073,-100000000000193102
1017071166,-100000000000193102
181102229,-100000000000193102
181102234,-100000000000193102
181102237,-100000000000193102
33675664,-100000000000193102
1184677742,-100000000000193102
1184724374,-100000000000193102
33677101,-100000000000193102
33602802,-100000000000193102
96608971,-100000000000193102
1017071165,-100000000000193102
195896297,-100000000000193102
96608980,-100000000000193102
33666834,-100000000000193102
49062079,-100000000000193102
33676750,-100000000000193102
1017071186,-100000000000193102
181454164,-100000000000193102
96608979,-100000000000193102
196085828,-100000000000193102
33659943,-100000000000193102
772952907,-100000000000193102
613184906,-100000000000193102
613184905,-100000000000193102
1017810684,-100000000000193102
1017810683,-100000000000193102
196085849,-100000000000193102
1017822793,-100000000000193102
1017822794,-100000000000193102
33665361,-100000000000193102
613179836,-100000000000193102
613183600,-100000000000193102
613183599,-100000000000193102
33677196,-100000000000193102
559524506,-100000000000193102
1017842627,-100000000000193102
33595868,-100000000000193102
1017822782,-100000000000193102
613179835,-100000000000193102
33677508,-100000000000193102
1017822783,-100000000000193102
1020262036,-100000000000193102
1020262035,-100000000000193102
1017822784,-100000000000193102
1017822785,-100000000000193102
33596462,-100000000000193102
33594431,-100000000000193102
772952905,-100000000000193102
613177490,-100000000000193102
772952906,-100000000000193102
613177489,-100000000000193102
33672279,-100000000000193102
33662959,-100000000000193102
1184677739,-100000000000193102
1184677743,-100000000000193102
33598708,-100000000000193085
33592621,-100000000000193102
33594676,-100000000000193102
96632175,-100000000000193102
634705614,-100000000000193102
96932224,-100000000000193102
96932270,-100000000000193102
634705615,-100000000000193102
96932266,-100000000000193102
33594146,-100000000000193102
33676618,-100000000000193102
96932287,-100000000000193102
613177491,-100000000000193102
613177492,-100000000000193102
33602044,-100000000000193102
33599286,-100000000000193102
33663056,-100000000000193102
96632172,-100000000000193102
33594955,-100000000000193102
33673810,-100000000000193102
33676030,-100000000000193102
33667660,-100000000000193102
33593418,-100000000000193102
33677049,-100000000000193102
33674170,-100000000000193102
33604220,-100000000000193102
33591491,-100000000000193102
635619571,-100000000000193085
33660207,-100000000000193102
96632188,-100000000000193102
33661384,-100000000000193102
96632170,-100000000000193102
1015816016,-100000000000193102
1016881143,-100000000000193102
1015816015,-100000000000193102
96632185,-100000000000193102
1016881138,-100000000000193102
1015816013,-100000000000193102
261900567,-100000000000193085
403428695,-100000000000193085
33672546,-100000000000193085
769622246,-100000000000193085
769622245,-100000000000193085
33660991,-100000000000193085
33668094,-100000000000193085
404075679,-100000000000193085
195069185,-100000000000193085
403467861,-100000000000193085
403466545,-100000000000193085
261900566,-100000000000193085
403428696,-100000000000193085
473886532,-100000000000193085
398430450,-100000000000193085
33593387,-100000000000193085
261673860,-100000000000193085
398304563,-100000000000193085
432130517,-100000000000193085
397815124,-100000000000193085
96635777,-100000000000193085
398118479,-100000000000193085
399441880,-100000000000193085
399441879,-100000000000193085
398118485,-100000000000193085
706403161,-100000000000193085
33594297,-100000000000193085
423228165,-100000000000193085
423228168,-100000000000193085
423228170,-100000000000193085
423228162,-100000000000193085
33596682,-100000000000193085
33665098,-100000000000193085
52049872,-100000000000193085
52049873,-100000000000193085
52049871,-100000000000193085
52049870,-100000000000193085
33596531,-100000000000193085
33670990,-100000000000193085
33664713,-100000000000193085
33694343,-100000000000193085
423231454,-100000000000193085
423231455,-100000000000193085
423231453,-100000000000193085
33664756,-100000000000193085
564371072,-100000000000193085
564371070,-100000000000193085
33677321,-100000000000193085
633324696,-100000000000193085
564371071,-100000000000193085
633324695,-100000000000193085
564371068,-100000000000193085
633324694,-100000000000193085
633324693,-100000000000193085
564371067,-100000000000193085
377867052,-100000000000193102
96740787,-100000000000193102
96740786,-100000000000193102
635673333,-100000000000193102
96740769,-100000000000193102
96740759,-100000000000193102
33665806,-100000000000193102
33604255,-100000000000193102
33660289,-100000000000193102
613168849,-100000000000193102
613168848,-100000000000193102
33662792,-100000000000193102
33599167,-100000000000193102
613177497,-100000000000193102
613177495,-100000000000193102
33598572,-100000000000193102
33659575,-100000000000193102
613177494,-100000000000193102
613177493,-100000000000193102
33669441,-100000000000193102
96740770,-100000000000193102
33596886,-100000000000193102
33602387,-100000000000193102
33664810,-100000000000193102
96851576,-100000000000193102
96851603,-100000000000193102
96851592,-100000000000193102
33669660,-100000000000193102
196085820,-100000000000193102
613168851,-100000000000193102
613168850,-100000000000193102
33673678,-100000000000193102
33674712,-100000000000193102
33595049,-100000000000193102
634740682,-100000000000193102
634740686,-100000000000193102
634740684,-100000000000193102
488733544,-100000000000193102
402124475,-100000000000193085
33592361,-100000000000193085
261668152,-100000000000193085
402124474,-100000000000193085
33601468,-100000000000193085
402568607,-100000000000193085
404075680,-100000000000193085
403563405,-100000000000193085
403564368,-100000000000193085
403564369,-100000000000193085
403563404,-100000000000193085
403466544,-100000000000193085
569729422,-100000000000193085
610157782,-100000000000193085
610157783,-100000000000193085
569729424,-100000000000193085
569729425,-100000000000193085
569729423,-100000000000193085
1359319479,-100000000000193085
1359319480,-100000000000193085
564465608,-100000000000193085
564465605,-100000000000193085
33592792,-100000000000193085
564465606,-100000000000193085
633324686,-100000000000193085
633324685,-100000000000193085
33662687,-100000000000193085
633324688,-100000000000193085
633324687,-100000000000193085
564465607,-100000000000193085
633324689,-100000000000193085
633324691,-100000000000193085
423228171,-100000000000193085
423228169,-100000000000193085
633324690,-100000000000193085
633324692,-100000000000193085
564371074,-100000000000193085
564371073,-100000000000193085
564361356,-100000000000193085
1017795289,-100000000000193085
574508888,-100000000000193085
96805084,-100000000000193102
33604047,-100000000000193102
33670003,-100000000000193102
33601107,-100000000000193102
33665368,-100000000000193102
96805086,-100000000000193102
96805091,-100000000000193102
1019711227,-100000000000193102
673434245,-100000000000193102
33602256,-100000000000193102
430590105,-100000000000193102
430590103,-100000000000193102
33670806,-100000000000193102
634736182,-100000000000193085
772952917,-100000000000193085
33661352,-100000000000193085
634736195,-100000000000193102
49060684,-100000000000193102
33664493,-100000000000193102
196085834,-100000000000193102
1017154160,-100000000000193102
1017154166,-100000000000193102
1019711220,-100000000000193102
1019711215,-100000000000193102
33666078,-100000000000193102
33672127,-100000000000193102
1019711221,-100000000000193102
1019711228,-100000000000193102
461765355,-100000000000193102
1433610200,-100000000000193102
1433610198,-100000000000193102
1433610201,-100000000000193102
33671675,-100000000000193102
1017154099,-100000000000193102
1017188549,-100000000000193102
1017153992,-100000000000193102
1017153991,-100000000000193102
1368134097,-100000000000193102
239177483,-100000000000193102
195821841,-100000000000193102
1153739821,-100000000000193102
772952898,-100000000000193085
33599704,-100000000000193085
33593891,-100000000000193085
1017795290,-100000000000193085
33669346,-100000000000193085
33660547,-100000000000193085
33670971,-100000000000193085
33600397,-100000000000193085
772952899,-100000000000193102
772952897,-100000000000193085
574452957,-100000000000193102
574508889,-100000000000193102
1017860415,-100000000000193102
1017842634,-100000000000193102
1017860416,-100000000000193102
1017842633,-100000000000193102
574452956,-100000000000193102
33591282,-100000000000193102
1020240511,-100000000000193102
1153739819,-100000000000193102
120711188,-100000000000193102
1153739820,-100000000000193102
120711183,-100000000000193102
1016168696,-100000000000193102
1016168697,-100000000000193102
33664370,-100000000000193102
239177482,-100000000000193102
33668277,-100000000000193102
239168110,-100000000000193102
239168111,-100000000000193102
239168109,-100000000000193102
239168112,-100000000000193102
200758031,-100000000000193102
239167024,-100000000000193102
239167022,-100000000000193102
33593725,-100000000000193102
239167023,-100000000000193102
33668175,-100000000000193102
1017154100,-100000000000193102
1020240510,-100000000000193102
612862123,-100000000000193102
612862125,-100000000000193102
1020240509,-100000000000193102
33662097,-100000000000193102
33676656,-100000000000193102
559524505,-100000000000193102
33672140,-100000000000193102
33663079,-100000000000193102
33674672,-100000000000193102
33597062,-100000000000193102
33665641,-100000000000193102
33599726,-100000000000193102
33665923,-100000000000193102
33600252,-100000000000193102
33667434,-100000000000193102
33599191,-100000000000193102
936848317,-100000000000193102
1017188571,-100000000000193102
1215901444,-100000000000193102
382714871,-100000000000193102
196002377,-100000000000193102
807747811,-100000000000193102
804857941,-100000000000193102
807747810,-100000000000193102
233448627,-100000000000193102
807750571,-100000000000193102
239014810,-100000000000193102
239014812,-100000000000193102
382714870,-100000000000193102
196002373,-100000000000193102
1368134098,-100000000000193102
1017153982,-100000000000193102
1017188569,-100000000000193102
1017154115,-100000000000193102
807750570,-100000000000193102
1017188570,-100000000000193102
195771680,-100000000000193102
234754032,-100000000000193102
832422151,-100000000000193102
239154660,-100000000000193102
48585267,-100000000000193102
195771667,-100000000000193102
195771658,-100000000000193102
1017153975,-100000000000193102
1017154114,-100000000000193102
804857940,-100000000000193102
236899596,-100000000000193102
239570312,-100000000000193102
1016168700,-100000000000193102
1016168701,-100000000000193102
1016168707,-100000000000193102
120711190,-100000000000193102
120711187,-100000000000193102
590498032,-100000000000193102
1016168706,-100000000000193102
