id,name,hierarchy_level,type
-100000000000389334,matete,7,municipality
-100000000000389659,n'djili,7,municipality
-100000000000389694,masina,7,municipality
-100000000000389689,nsele,7,municipality
-100000000000389614,kimbanseke,7,municipality
-100000000000389536,kisenso,7,municipality
-100000000000389746,maluku,7,municipality
-100000000005399774,annexe,7,municipality
-100000000005399777,lubumbashi,7,municipality
-100000000005399775,kamalondo,7,municipality
-100000000005388138,kampemba,7,municipality
-100000000005387970,ruashi,7,municipality
-100000000005387831,kenya,7,municipality
-100000000005399776,katuba,7,municipality
-100000000006035373,ngweshe (chefferie),7,municipality
-100000000006035372,kaziba (chefferie),7,municipality
-100000000008975594,bakano,7,municipality
-100000000006035292,bafuliro (chefferie),7,municipality
-100000000006035294,plaine de la ruzizi (chefferie),7,municipality
-100000000006035293,bavira (chefferie),7,municipality
-100000000005673383,wakabango (chefferie),7,municipality
-100000000005673382,bakisi (chefferie),7,municipality
-100000000005671334,itombwe (secteur),7,municipality
-100000000005671335,luindi (chefferie),7,municipality
-100000000005671332,basile (chefferie),7,municipality
-100000000005671333,burhinyi (chefferie),7,municipality
-100000000005671336,luwindja (chefferie),7,municipality
-100000000005671337,wamuzima (chefferie),7,municipality
-100000000008975596,bahunde,7,municipality
-100000000008975599,katoyi,7,municipality
-100000000008975598,osso,7,municipality
-100000000008975597,bashali,7,municipality
-100000000008975302,"",7,municipality
-100000000008975305,"",7,municipality
-100000000008975304,"",7,municipality
-100000000008975303,"",7,municipality
-100000000008974458,bapere,7,municipality
-100000000008972964,baswaga,7,municipality
-100000000006035363,buhavu (chefferie),7,municipality
-100000000006035364,buloho (chefferie),7,municipality
-100000000006035472,nindja (chefferie),7,municipality
-100000000006035470,kabare (chefferie),7,municipality
-100000000009592317,goma,7,municipality
-100000000009592316,karisimbi,7,municipality
-100000000005676380,ngandja,7,municipality
-100000000005676379,mutambala,7,municipality
-100000000005676381,tanganyika,7,municipality
-100000000005676378,lulenge,7,municipality
-100000000006035468,bagira,7,municipality
-100000000006035471,kadutu,7,municipality
-100000000006035469,ibanda,7,municipality
-100000000012720378,kyondo,7,municipality
-100000000008972961,bashu,7,municipality
-100000000008974457,watalinga,7,municipality
-100000000008972962,beni,7,municipality
-100000000008974486,ruwenzori,7,municipality
-100000000009992538,disasi,7,municipality
-100000000009992537,mayoyo,7,municipality
-100000000009992536,basoko,7,municipality
-100000000000402189,secteur de la loeka,7,municipality
-100000000000402183,secteur de yandongi,7,municipality
-100000000000402188,secteur de la molua,7,municipality
-100000000000402181,secteur de monzamboli,7,municipality
-100000000000402182,secteur de banda-yowa,7,municipality
-100000000014358799,lukolela,7,municipality
-100000000014358700,nzinda,7,municipality
-100000000014359077,kazamba,7,municipality
-100000000014358881,lukemi,7,municipality
-100000000014364561,ndeke-zulu,8,neighborhood
-100000000014364357,lumbi,8,neighborhood
-100000000014580249,hoho,8,neighborhood
-100000000014563432,ngezi,8,neighborhood
-100000000014573581,bakongolo,8,neighborhood
-100000000014573580,bankoko,8,neighborhood
-100000000014563430,opas,8,neighborhood
-100000000014563091,lumumba,8,neighborhood
-100000000014573579,yambi yaya,8,neighborhood
-100000000014577462,dele,8,neighborhood
-100000000012441041,aketi,8,neighborhood
-100000000014300755,vighole,8,neighborhood
-100000000014288194,ngingi,8,neighborhood
-100000000014312791,katwa,8,neighborhood
-100000000014331568,vungi,8,neighborhood
-100000000010997458,tamende,8,neighborhood
-100000000006092136,mbujimayi,8,neighborhood
